,date,numTweets,replies_count,replies_average,retweets_count,retweets_average,likes_count,likes_average
301,2021-06-27,2,14889,7444.5,24574,12287,323250,161625
302,2021-06-26,4,15919,3979.75,18356,4589,289334,72333.5
303,2021-06-25,26,80129,3081.884615,77378,2976.076923,874877,33649.11538
304,2021-06-24,7,12764,1823.428571,10317,1473.857143,208278,29754
305,2021-06-23,1,1340,1340,587,587,11717,11717
306,2021-06-22,3,3694,1231.333333,5831,1943.666667,63153,21051
307,2021-06-21,3,27546,9182,22935,7645,428705,142901.6667
308,2021-06-20,1,1225,1225,429,429,14386,14386
309,2021-06-19,6,4714,785.6666667,3999,666.5,104810,17468.33333
310,2021-06-18,1,1306,1306,694,694,8047,8047
311,2021-06-17,13,35270,2713.076923,19768,1520.615385,334158,25704.46154
312,2021-06-16,9,6883,764.7777778,5526,614,83623,9291.444444
313,2021-06-15,5,18827,3765.4,20644,4128.8,353929,70785.8
314,2021-06-14,12,62762,5230.166667,66826,5568.833333,930613,77551.08333
315,2021-06-13,9,28256,3139.555556,32027,3558.555556,339913,37768.11111
316,2021-06-12,2,1769,884.5,1146,573,22440,11220
317,2021-06-11,8,24514,3064.25,15419,1927.375,258260,32282.5
318,2021-06-10,5,4923,984.6,5231,1046.2,61187,12237.4
319,2021-06-09,5,3999,799.8,4849,969.8,49727,9945.4
320,2021-06-08,3,2867,955.6666667,2755,918.3333333,42624,14208
321,2021-06-07,12,30242,2520.166667,25428,2119,434522,36210.16667
322,2021-06-06,12,76257,6354.75,109597,9133.083333,1166738,97228.16667
323,2021-06-05,7,84599,12085.57143,53322,7617.428571,606003,86571.85714
324,2021-06-04,13,122576,9428.923077,82706,6362,890685,68514.23077
325,2021-06-03,2,2241,1120.5,1762,881,54311,27155.5
326,2021-06-02,15,44981,2998.733333,57795,3853,555529,37035.26667
327,2021-06-01,7,5324,760.5714286,8702,1243.142857,142897,20413.85714
328,2021-05-31,2,1959,979.5,2847,1423.5,55238,27619
329,2021-05-30,8,13823,1727.875,15514,1939.25,211762,26470.25
330,2021-05-29,11,14990,1362.727273,13830,1257.272727,240780,21889.09091
331,2021-05-28,6,20051,3341.833333,27435,4572.5,438105,73017.5
332,2021-05-27,4,2801,700.25,3086,771.5,61015,15253.75
333,2021-05-26,11,28393,2581.181818,41065,3733.181818,539288,49026.18182
334,2021-05-25,3,14796,4932,21924,7308,195661,65220.33333
335,2021-05-24,3,54048,18016,83287,27762.33333,572886,190962
336,2021-05-23,3,34258,11419.33333,46756,15585.33333,449522,149840.6667
337,2021-05-22,5,35348,7069.6,40486,8097.2,433608,86721.6
338,2021-05-21,8,14384,1798,14768,1846,189376,23672
339,2021-05-20,20,109379,5468.95,96766,4838.3,785022,39251.1
340,2021-05-19,6,87944,14657.33333,71337,11889.5,684373,114062.1667
341,2021-05-18,6,44195,7365.833333,34277,5712.833333,556277,92712.83333
342,2021-05-17,2,20311,10155.5,18291,9145.5,119820,59910
343,2021-05-16,14,72616,5186.857143,73277,5234.071429,465536,33252.57143
344,2021-05-15,1,1170,1170,1173,1173,21970,21970
345,2021-05-14,10,196093,19609.3,185528,18552.8,1569407,156940.7
346,2021-05-13,4,145492,36373,85334,21333.5,621836,155459
347,2021-05-12,6,3126,521,3300,550,61855,10309.16667
348,2021-05-11,6,117085,19514.16667,114677,19112.83333,741978,123663
349,2021-05-10,6,40297,6716.166667,119459,19909.83333,685882,114313.6667
350,2021-05-09,3,40364,13454.66667,34965,11655,313113,104371
351,2021-05-08,9,66203,7355.888889,147429,16381,1379238,153248.6667
352,2021-05-07,8,34024,4253,67523,8440.375,535755,66969.375
353,2021-05-06,13,112477,8652.076923,123078,9467.538462,1415343,108872.5385
354,2021-05-05,5,4145,829,3745,749,65908,13181.6
355,2021-05-03,6,6747,1124.5,12577,2096.166667,269535,44922.5
356,2021-05-02,7,100181,14311.57143,45207,6458.142857,1080221,154317.2857
357,2021-04-30,7,27968,3995.428571,11146,1592.285714,182086,26012.28571
358,2021-04-29,11,3688,335.2727273,4077,370.6363636,78284,7116.727273
359,2021-04-28,16,53105,3319.0625,87766,5485.375,663445,41465.3125
360,2021-04-27,8,21468,2683.5,28739,3592.375,352392,44049
361,2021-04-26,4,1409,352.25,1307,326.75,27121,6780.25
362,2021-04-25,4,28688,7172,31826,7956.5,558389,139597.25
363,2021-04-24,4,113352,28338,61974,15493.5,965444,241361
364,2021-04-23,12,28862,2405.166667,50200,4183.333333,678260,56521.66667
365,2021-04-22,11,23710,2155.454545,25614,2328.545455,414994,37726.72727
366,2021-04-21,3,2840,946.6666667,3576,1192,115045,38348.33333
367,2021-04-20,9,6693,743.6666667,10319,1146.555556,158532,17614.66667
368,2021-04-19,2,1452,726,1607,803.5,24765,12382.5
369,2021-04-18,3,11425,3808.333333,18015,6005,163185,54395
370,2021-04-17,7,65090,9298.571429,115029,16432.71429,1249114,178444.8571
371,2021-04-16,9,40097,4455.222222,66862,7429.111111,799660,88851.11111
372,2021-04-15,22,46750,2125,104886,4767.545455,1000051,45456.86364
373,2021-04-14,8,3764,470.5,3442,430.25,113702,14212.75
374,2021-04-13,1,1221,1221,1076,1076,25865,25865
375,2021-04-11,10,26169,2616.9,23378,2337.8,623171,62317.1
376,2021-04-10,21,54939,2616.142857,115437,5497,1591118,75767.52381
377,2021-04-09,28,37912,1354,101401,3621.464286,1267765,45277.32143
378,2021-04-08,5,16923,3384.6,20016,4003.2,384420,76884
379,2021-04-07,8,2270,283.75,2586,323.25,63938,7992.25
380,2021-04-06,3,7728,2576,5901,1967,154007,51335.66667
381,2021-04-05,16,22001,1375.0625,37685,2355.3125,605676,37854.75
382,2021-04-04,4,18271,4567.75,46193,11548.25,635051,158762.75
383,2021-04-03,4,55713,13928.25,13633,3408.25,329008,82252
384,2021-04-02,2,1454,727,1557,778.5,63278,31639
385,2021-04-01,6,29275,4879.166667,56350,9391.666667,664062,110677
386,2021-03-31,3,8740,2913.333333,12233,4077.666667,135363,45121
387,2021-03-30,16,37473,2342.0625,56950,3559.375,821814,51363.375
388,2021-03-29,1,3245,3245,2897,2897,72015,72015
389,2021-03-28,9,17329,1925.444444,52620,5846.666667,800649,88961
390,2021-03-27,7,19184,2740.571429,49021,7003,627330,89618.57143
391,2021-03-26,8,3921,490.125,4209,526.125,58664,7333
392,2021-03-25,10,42109,4210.9,90507,9050.7,1299500,129950
393,2021-03-24,7,43313,6187.571429,137825,19689.28571,1211638,173091.1429
