time,open,high,low,close,Volume,Volume MA,HV
1642516200,1026.605,1070.7899,1016.06,1030.51,22329803,25467327.9,66.84967568
1642602600,1041.705,1054.6699,995,995.65,25147496,25783369.15,65.76057502
1642689000,1009.73,1041.66,994,996.27,23496248,25766216.3,60.76878657
1642775400,996.34,1004.55,940.5,943.9,34472009,25929248.65,65.86971646
1643034600,904.76,933.5131,851.47,930,50791714,26923612.9,64.14131663
1643121000,914.2,951.26,903.21,918.4,28865302,27181114.35,58.92776045
1643207400,952.43,987.69,906,937.41,34955761,27923503.95,61.28446147
1643293800,933.36,935.39,829,829.1,49036523,29439429.35,79.18389686
1643380200,831.56,857.5,792.01,846.35,44929650,30901896.2,79.04645632
1643639400,872.71,937.99,862.05,936.72,34812032,31963604.05,104.1731954
1643725800,935.21,943.7,905,931.25,24379446,31437808.9,104.1136978
1643812200,928.18,931.5,889.41,905.66,22264345,30880221.85,103.622597
1643898600,882,937,880.52,891.14,26285186,30859151.2,103.4721683
1643985000,897.22,936.5,881.17,923.32,24541822,30580634.4,102.6534359
1644244200,923.79,947.77,902.7089,907.34,20331488,30194463,102.7821676
1644330600,905.53,926.2899,894.8,922,16909671,29509698.6,103.0635201
1644417000,935,946.2699,920,932,17419848,29279637.5,102.521672
1644503400,908.37,943.81,896.7,904.55,22042277,28986101.1,71.12590958
1644589800,909.63,915.96,850.7,860,26548623,28693369.05,78.11974014
1644849000,861.57,898.8799,853.15,875.76,22585472,28607235.8,48.06662392
1644935400,900,923,893.3774,922.43,19216514,28451571.35,58.68355782
1645021800,914.05,926.4299,901.21,923.39,17098132,28049103.15,56.12804563
1645108200,913.26,918.4999,874.1,876.35,18392806,27793931.05,63.68954712
1645194600,886,886.87,837.61,856.98,22833947,27212027.95,59.88889404
1645540200,834.13,856.7338,801.1001,821.53,27762734,26060578.95,63.004052
1645626600,830.43,835.2997,760.56,764.04,31752336,26204930.65,69.77152766
1645713000,700.39,802.48,700,800.77,45107425,26712513.85,77.96594275
1645799400,809.23,819.5,782.4005,809.87,25355921,25528483.75,78.6989236
1646058600,815.01,876.86,814.7075,870.43,33002289,24932115.7,87.18663013
1646145000,869.68,889.88,853.78,864.37,24922287,24437628.45,86.59102406
1646231400,872.13,886.48,844.2721,879.89,24881146,24462713.45,80.96039451
1646317800,878.77,886.439,832.6001,839.29,20541169,24376554.65,84.36386243
1646404200,849.1,855.65,825.1609,838.29,22393287,24181959.7,79.8800754
1646663400,856.3,866.14,804.57,804.58,24164724,24163104.8,82.09759983
1646749800,795.53,849.99,782.17,824.4,26799702,24486515.5,80.30942483
1646836200,839.48,860.56,832.01,858.97,19727993,24627431.6,68.14868628
1646922600,851.45,854.45,810.3601,838.3,19549548,24733916.6,66.93397643
1647009000,840.197,843.802,793.77,795.35,22345722,24749088.85,74.21457664
1647264600,780.61,800.7,756.04,766.37,23717421,24607528.75,59.43710592
1647351000,775.27,805.57,756.57,801.89,22280381,24592274.2,68.19386398
1647437400,809,842,802.2601,840.23,28009607,25031928.85,73.88375848
1647523800,830.99,875,825.7178,871.6,22194324,25286738.45,71.83464877
1647610200,874.49,907.85,867.39,905.39,33471397,26040668,74.3195689
1647869400,914.98,942.85,907.09,921.16,27327216,26265331.45,67.56829954
1647955800,930,997.86,921.75,993.98,35289519,26641670.7,76.50674978
1648042200,979.94,1040.7,976.4,999.11,40225383,27065323.05,75.4358913
1648128600,1009.73,1024.49,988.8,1013.92,22973626,25958633.1,71.17760949
1648215000,1008,1021.7999,997.3201,1010.64,20677182,25724696.15,57.32612493
1648474200,1065.1,1097.8799,1053.6,1091.84,34168693,25783016.35,49.85073651
1648560600,1107.99,1114.77,1073.11,1099.57,24538273,25763815.65,51.85558567
1648647000,1091.17,1113.95,1084,1093.99,19955002,25517508.45,54.75385702
1648733400,1094.57,1103.1399,1076.641,1077.6,16330919,25306995.95,59.07614595
1648819800,1081.15,1094.75,1066.64,1084.59,18087741,25091718.65,58.56429696
1649079000,1089.38,1149.91,1072.53,1145.45,27392567,25253110.8,62.17662252
1649165400,1136.3,1152.87,1087.3,1091.26,26691673,25247709.35,63.44690081
1649251800,1073.47,1079,1027.7,1045.76,29782845,25750451.95,70.14333813
1649338200,1052.39,1076.59,1021.5401,1057.26,26482353,26097092.2,69.97701516
1649424600,1043.21,1048.44,1022.435,1025.49,18337896,25896700.9,72.7248093
1649683800,980.4,1008.4681,974.64,975.93,19785735,25700116.6,59.60417216
1649770200,997.64,1021.1921,976.6001,986.95,21992032,25685699.15,60.11711759
1649856600,981.075,1026.24,973.097,1022.37,18373737,25203905.65,65.70568268
1649943000,999.29,1012.7099,982.19,985,19474135,25067896.2,67.91789368
1650288600,989.03,1014.92,973.41,1004.29,17238407,24256246.7,69.37992325
1650375000,1005.06,1034.94,995.325,1028.15,16615944,23720683.1,60.96558665
1650461400,1030,1034,975.2501,977.2,23570442,23134729.25,61.51038199
1650547800,1074.73,1092.22,996.415,1008.78,35138779,22880399.05,62.35579389
1650634200,1014.91,1034.85,994.0001,1005.05,23232186,22893327.05,61.67083195
