Date,Price,Open,High,Low,Change %
31-Jul-19,"60,500.00","60,500.00","62,000.00","59,000.00",0
30-Jul-19,"60,500.00","60,500.00","62,000.00","59,000.00",0
29-Jul-19,"60,500.00","60,500.00","62,000.00","59,000.00",-0.0163
26-Jul-19,"61,500.00","61,500.00","63,000.00","60,000.00",-0.016
25-Jul-19,"62,500.00","62,500.00","64,000.00","61,000.00",0
24-Jul-19,"62,500.00","62,500.00","64,000.00","61,000.00",0
23-Jul-19,"62,500.00","62,500.00","64,000.00","61,000.00",-0.0079
22-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
19-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
18-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
17-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
16-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
15-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
12-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
11-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",0
10-Jul-19,"63,000.00","63,000.00","64,500.00","61,500.00",-0.0079
9-Jul-19,"63,500.00","63,500.00","65,000.00","62,000.00",0
8-Jul-19,"63,500.00","63,500.00","65,000.00","62,000.00",0
5-Jul-19,"63,500.00","63,500.00","65,000.00","62,000.00",-0.0078
4-Jul-19,"64,000.00","64,000.00","65,500.00","62,500.00",0
3-Jul-19,"64,000.00","64,000.00","65,500.00","62,500.00",0
2-Jul-19,"64,000.00","64,000.00","65,500.00","62,500.00",0
1-Jul-19,"64,000.00","64,000.00","65,500.00","62,500.00",-0.0154
28-Jun-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
27-Jun-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
26-Jun-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
25-Jun-19,"65,000.00","65,000.00","66,500.00","63,500.00",-0.0152
24-Jun-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
21-Jun-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
20-Jun-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
19-Jun-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
18-Jun-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
17-Jun-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
14-Jun-19,"66,000.00","66,000.00","67,500.00","64,500.00",-0.0075
13-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
12-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
11-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
10-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
6-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
5-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
4-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
3-Jun-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
31-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
30-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
29-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
28-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
27-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
24-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
23-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
22-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
21-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
20-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
17-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
16-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
15-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
14-May-19,"66,500.00","66,500.00","68,000.00","65,000.00",0.0076
13-May-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
10-May-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
9-May-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
8-May-19,"66,000.00","66,000.00","67,500.00","64,500.00",0
7-May-19,"66,000.00","66,000.00","67,500.00","64,500.00",0.0076
6-May-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
30-Apr-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
29-Apr-19,"65,500.00","65,500.00","67,000.00","64,000.00",0.0077
26-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
25-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
24-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
23-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0.0078
22-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
19-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
18-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
17-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
16-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
15-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
12-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
11-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
10-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",0
9-Apr-19,"64,500.00","64,500.00","66,000.00","63,000.00",-0.0077
8-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
4-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
3-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
2-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",0
1-Apr-19,"65,000.00","65,000.00","66,500.00","63,500.00",-0.0076
29-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
28-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
27-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
26-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
25-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
22-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
21-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
20-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
19-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
18-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
15-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
14-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
13-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",0
12-Mar-19,"65,500.00","65,500.00","67,000.00","64,000.00",-0.015
11-Mar-19,"66,500.00","66,500.00","68,000.00","65,000.00",0
8-Mar-19,"66,500.00","66,500.00","68,000.00","65,000.00",-0.0148
7-Mar-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
6-Mar-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
5-Mar-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
4-Mar-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
1-Mar-19,"67,500.00","67,500.00","69,000.00","66,000.00",-0.0146
28-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
27-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
26-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
25-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
22-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
21-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
20-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
19-Feb-19,"68,500.00","68,500.00","70,000.00","67,000.00",0.0148
18-Feb-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
15-Feb-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
14-Feb-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
13-Feb-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
12-Feb-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
11-Feb-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
1-Feb-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
31-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
30-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
29-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
28-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
25-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
24-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
23-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
22-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
21-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
18-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
17-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
16-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",0
15-Jan-19,"67,500.00","67,500.00","69,000.00","66,000.00",-0.0146
14-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
11-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
10-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
9-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
8-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
7-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
3-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
2-Jan-19,"68,500.00","68,500.00","70,000.00","67,000.00",0
28-Dec-18,"68,500.00","68,500.00","70,000.00","67,000.00",0
27-Dec-18,"68,500.00","68,500.00","70,000.00","67,000.00",0
26-Dec-18,"68,500.00","68,500.00","70,000.00","67,000.00",0
25-Dec-18,"68,500.00","68,500.00","70,000.00","67,000.00",0
24-Dec-18,"68,500.00","68,500.00","70,000.00","67,000.00",-0.0144
21-Dec-18,"69,500.00","69,500.00","71,000.00","68,000.00",0
20-Dec-18,"69,500.00","69,500.00","71,000.00","68,000.00",0
19-Dec-18,"69,500.00","69,500.00","71,000.00","68,000.00",-0.0071
18-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
17-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
14-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
13-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
